Experiment Version,Participant Private ID,Current Spreadsheet,Trial Number,Spreadsheet: pairing,Spreadsheet: modality,Spreadsheet: word-a,Spreadsheet: word-b,Spreadsheet: word-answer,Spreadsheet: meaning-prompt,Spreadsheet: meaning-a,Spreadsheet: meaning-b,Response,Correct,Reaction Time
18.0,13318377.0,condition-3,1.0,v0,visual,v0hk-kukkiri.mp4,v0kh-tiratira.mp4,v0hk-kukkiri.mp4,"clearly, distinctly, sharply","flickering, fluttering","clearly, distinctly, sharply",v0hk-kukkiri.mp4,1,22790.699999964243
18.0,13318377.0,condition-3,2.0,a3,auditory,a3kh-syakisyaki.mp4,a3hk-ziriziri.mp4,a3kh-syakisyaki.mp4,"crisp, crunchy","crisp, crunchy","sizzling, oozing",a3kh-syakisyaki.mp4,1,35260.89999997616
18.0,13318377.0,condition-3,3.0,v8,visual,v8kh-garigari.mp4,v8hk-marumaru.mp4,v8hk-marumaru.mp4,"plump, rotund, chubby","very skinny, emaciated","plump, rotund, chubby",v8hk-marumaru.mp4,1,33410.899999999994
18.0,13318377.0,condition-3,4.0,v5,visual,v5hk-busuri.mp4,v5kh-nikoniko.mp4,v5kh-nikoniko.mp4,"smilingly, with a grin","poutingly, displeasure","smilingly, with a grin",v5kh-nikoniko.mp4,1,19365.399999964226
18.0,13318377.0,condition-3,5.0,v6,visual,v6hk-huNwari.mp4,v6kh-gotugotu.mp4,v6hk-huNwari.mp4,"gently, airily, fluffy","rugged, scragged, angular","gently, airily, fluffy",v6hk-huNwari.mp4,1,11111.80000001192
18.0,13318377.0,condition-3,6.0,a5,auditory,a5hk-sororisorori.mp4,a5kh-dotabata.mp4,a5kh-dotabata.mp4,"noisily, with heavy feet","noisily, with heavy feet",slowly and quietly,a5hk-sororisorori.mp4,0,9660.49999996426
18.0,13318377.0,condition-3,7.0,a7,auditory,a7hk-dosidosi.mp4,a7kh-gisigisi.mp4,a7kh-gisigisi.mp4,"with a creak, squeak","tramping, stomping","with a creak, squeak",a7kh-gisigisi.mp4,1,25072.999999988067
18.0,13318377.0,condition-3,8.0,v4,visual,v4hk-bissiri.mp4,v4kh-barabara.mp4,v4hk-bissiri.mp4,"closely lined up, densely","scattered, in pieces","closely lined up, densely",v4hk-bissiri.mp4,1,27041.39999998809
18.0,13318377.0,condition-3,9.0,v7,visual,v7hk-boNyari.mp4,v7kh-kiritto.mp4,v7kh-kiritto.mp4,"crisp appearance, stiffly","dim, faint, indistinct","crisp appearance, stiffly",v7kh-kiritto.mp4,1,10640.900000000023
18.0,13318377.0,condition-3,10.0,v1,visual,v1hk-kurikuri.mp4,v1kh-gizagiza.mp4,v1kh-gizagiza.mp4,"jagged, serrated",big and round,"jagged, serrated",v1kh-gizagiza.mp4,1,11856.599999964235
18.0,13318377.0,condition-3,11.0,i6,interoceptive,i6kh-girigiri.mp4,i6hk-noNbiri.mp4,i6hk-noNbiri.mp4,"at leisure, in a relaxed manner","at leisure, in a relaxed manner","just barely, at the last moment",i6kh-girigiri.mp4,0,11173.19999998808
18.0,13318377.0,condition-3,12.0,i8,interoceptive,i8kh-dokiri.mp4,i8hk-hotto.mp4,i8hk-hotto.mp4,with a feeling of relief,"being startled, getting a shock",with a feeling of relief,i8kh-dokiri.mp4,0,13860.500000011933
18.0,13318377.0,condition-3,13.0,a6,auditory,a6hk-dosari.mp4,a6kh-katitto.mp4,a6hk-dosari.mp4,with a thud,"click, snap",with a thud,a6kh-katitto.mp4,0,73858.99999997613
18.0,13318377.0,condition-3,14.0,v3,visual,v3kh-hirahira.mp4,v3hk-pitari.mp4,v3kh-hirahira.mp4,"fluttering, dangling","fluttering, dangling","tightly connected, no space in between",v3kh-hirahira.mp4,1,8657.0
18.0,13318377.0,condition-3,15.0,i3,interoceptive,i3hk-sukkiri.mp4,i3kh-iraira.mp4,i3kh-iraira.mp4,"to get irritated, annoyed","refreshingly, with a feeling fo relief","to get irritated, annoyed",i3kh-iraira.mp4,1,16844.80000001192
18.0,13318377.0,condition-3,16.0,a1,auditory,a1hk-sitosito.mp4,a1kh-batyabatya.mp4,a1kh-batyabatya.mp4,splashing,splashing,drizzling,a1hk-sitosito.mp4,0,22140.49999997613
18.0,13318377.0,condition-3,17.0,v2,visual,v2hk-doNyori.mp4,v2kh-kirakira.mp4,v2hk-doNyori.mp4,"dark, gloomy","glittering, sparkling","dark, gloomy",v2hk-doNyori.mp4,1,10887.10000001191
18.0,13318377.0,condition-3,18.0,i9,interoceptive,i9kh-dokidoki.mp4,i9hk-yuttari.mp4,i9kh-dokidoki.mp4,with a rapid heartbeat,"comfortable, calm, relaxed",with a rapid heartbeat,i9kh-dokidoki.mp4,1,19995.099999988102
18.0,13318377.0,condition-3,19.0,i0,interoceptive,i0kh-wakuwaku.mp4,i0hk-uNzari.mp4,i0hk-uNzari.mp4,"boredom, tedious, fed up with","boredom, tedious, fed up with","excitement, nervous",i0kh-wakuwaku.mp4,0,12358.799999988056
18.0,13318377.0,condition-3,20.0,a4,auditory,a4hk-zuruzuru.mp4,a4kh-poripori.mp4,a4hk-zuruzuru.mp4,with a slurp,"munching, crunching",with a slurp,a4hk-zuruzuru.mp4,1,24275.80000001192
18.0,13318377.0,condition-3,21.0,a0,auditory,a0hk-gosogoso.mp4,a0kh-katakata.mp4,a0hk-gosogoso.mp4,with a rustling sound,"clattering, rattling",with a rustling sound,a0kh-katakata.mp4,0,16185.100000011967
18.0,13318377.0,condition-3,22.0,a9,auditory,a9hk-mogomogo.mp4,a9kh-sakutto.mp4,a9kh-sakutto.mp4,with a crunch,"mumbling, chewing",with a crunch,a9kh-sakutto.mp4,1,29815.39999997616
18.0,13318377.0,condition-3,23.0,i5,interoceptive,i5hk-nobinobi.mp4,i5kh-harahara.mp4,i5kh-harahara.mp4,"anxious, nervous","anxious, nervous","comfortable, peaceful",i5hk-nobinobi.mp4,0,10842.0
18.0,13318377.0,condition-3,24.0,i1,interoceptive,i1kh-gatugatu.mp4,i1hk-geNnari.mp4,i1kh-gatugatu.mp4,"ravenously, greedily","ravenously, greedily","weary, fed up, dejected",i1kh-gatugatu.mp4,1,12022.300000000048
18.0,13318377.0,condition-3,25.0,a2,auditory,a2kh-potapota.mp4,a2hk-zyaazyaa.mp4,a2hk-zyaazyaa.mp4,noisily gushing,noisily gushing,"dripping, trickling",a2kh-potapota.mp4,0,8949.800000000163
18.0,13318377.0,condition-3,26.0,v9,visual,v9hk-mukumuku.mp4,v9kh-bosabosa.mp4,v9kh-bosabosa.mp4,"ruffled, disheveled","ruffled, disheveled","billowing, plump",v9kh-bosabosa.mp4,1,9319.899999976158
18.0,13318377.0,condition-3,27.0,i7,interoceptive,i7hk-hokkori.mp4,i7kh-zokuzoku.mp4,i7kh-zokuzoku.mp4,"shivering, feeling chilly","feeling warm and fluffy, soft","shivering, feeling chilly",i7kh-zokuzoku.mp4,1,22960.199999999957
