Experiment Version,Participant Private ID,Current Spreadsheet,Trial Number,Spreadsheet: pairing,Spreadsheet: modality,Spreadsheet: rated-word,Spreadsheet: rated-meaning,rating,Reaction Time
18.0,13318377.0,condition-3,1.0,a5,auditory,a5kh-dotabata.mp4,"noisily, with heavy feet",6,29762.0
18.0,13318377.0,condition-3,2.0,a8,auditory,a8hk-bosori.mp4,"in a whisper, in a murmur",2,9422.000000035769
18.0,13318377.0,condition-3,3.0,i7,interoceptive,i7kh-zokuzoku.mp4,"shivering, feeling chilly",6,15649.799999999988
18.0,13318377.0,condition-3,4.0,v4,visual,v4hk-bissiri.mp4,"closely lined up, densely",6,15881.099999999948
18.0,13318377.0,condition-3,5.0,i3,interoceptive,i3kh-iraira.mp4,"to get irritated, annoyed",5,10772.5
18.0,13318377.0,condition-3,6.0,i9,interoceptive,i9kh-dokidoki.mp4,with a rapid heartbeat,7,9389.400000000023
18.0,13318377.0,condition-3,7.0,a0,auditory,a0hk-gosogoso.mp4,with a rustling sound,5,4971.200000023819
18.0,13318377.0,condition-3,8.0,a3,auditory,a3kh-syakisyaki.mp4,"crisp, crunchy",6,4900.79999999993
18.0,13318377.0,condition-3,9.0,v0,visual,v0hk-kukkiri.mp4,"clearly, distinctly, sharply",3,25474.10000001191
18.0,13318377.0,condition-3,10.0,i5,interoceptive,i5kh-harahara.mp4,"anxious, nervous",3,20041.90000004769
18.0,13318377.0,condition-3,11.0,a2,auditory,a2hk-zyaazyaa.mp4,noisily gushing,2,6954.700000035751
18.0,13318377.0,condition-3,12.0,a7,auditory,a7kh-gisigisi.mp4,"with a creak, squeak",6,4700.099999999977
18.0,13318377.0,condition-3,13.0,v3,visual,v3kh-hirahira.mp4,"fluttering, dangling",5,5850.099999999977
18.0,13318377.0,condition-3,14.0,i0,interoceptive,i0hk-uNzari.mp4,"boredom, tedious, fed up with",6,7665.799999999988
18.0,13318377.0,condition-3,15.0,v7,visual,v7kh-kiritto.mp4,"crisp appearance, stiffly",6,5145.3000000238535
18.0,13318377.0,condition-3,16.0,i1,interoceptive,i1kh-gatugatu.mp4,"ravenously, greedily",3,4855.90000002383
18.0,13318377.0,condition-3,17.0,v2,visual,v2hk-doNyori.mp4,"dark, gloomy",6,5139.100000035774
18.0,13318377.0,condition-3,18.0,v8,visual,v8hk-marumaru.mp4,"plump, rotund, chubby",4,8587.600000035774
18.0,13318377.0,condition-3,19.0,i4,interoceptive,i4hk-tyaNto.mp4,"attentive, proper attitude",5,7120.299999999988
18.0,13318377.0,condition-3,20.0,a6,auditory,a6hk-dosari.mp4,with a thud,1,6041.600000023842
18.0,13318377.0,condition-3,21.0,a9,auditory,a9kh-sakutto.mp4,with a crunch,2,10089.599999999977
18.0,13318377.0,condition-3,22.0,v6,visual,v6hk-huNwari.mp4,"gently, airily, fluffy",3,5599.50000003574
18.0,13318377.0,condition-3,23.0,i6,interoceptive,i6hk-noNbiri.mp4,"at leisure, in a relaxed manner",6,21420.79999999999
18.0,13318377.0,condition-3,24.0,a1,auditory,a1kh-batyabatya.mp4,splashing,5,6226.400000047695
18.0,13318377.0,condition-3,25.0,v9,visual,v9kh-bosabosa.mp4,"ruffled, disheveled",5,5049.799999999988
18.0,13318377.0,condition-3,26.0,a4,auditory,a4hk-zuruzuru.mp4,with a slurp,4,5021.300000011921
18.0,13318377.0,condition-3,27.0,v1,visual,v1kh-gizagiza.mp4,"jagged, serrated",5,4712.400000011898
18.0,13318377.0,condition-3,28.0,v5,visual,v5kh-nikoniko.mp4,"smilingly, with a grin",3,7205.300000011921
18.0,13318377.0,condition-3,29.0,i8,interoceptive,i8hk-hotto.mp4,with a feeling of relief,5,5019.100000047707
18.0,13318377.0,condition-3,30.0,i2,interoceptive,i2hk-syoboN.mp4,"downhearted, dejected",5,5886.099999999977
18.0,13328943.0,condition-2,1.0,v9,visual,v9kk-bosabosa.mp4,"ruffled, disheveled",4,17797.399999999907
18.0,13328943.0,condition-2,2.0,i1,interoceptive,i1kk-gatugatu.mp4,"ravenously, greedily",5,11882.600000000006
18.0,13328943.0,condition-2,3.0,i0,interoceptive,i0hh-uNzari.mp4,"boredom, tedious, fed up with",5,6808.899999999732
18.0,13328943.0,condition-2,4.0,a4,auditory,a4hh-zuruzuru.mp4,with a slurp,6,5365.39999999982
18.0,13328943.0,condition-2,5.0,v8,visual,v8hh-marumaru.mp4,"plump, rotund, chubby",2,9572.79999999964
18.0,13328943.0,condition-2,6.0,a3,auditory,a3kk-syakisyaki.mp4,"crisp, crunchy",6,5747.099999999919
18.0,13328943.0,condition-2,7.0,i5,interoceptive,i5kk-harahara.mp4,"anxious, nervous",6,9036.199999999895
18.0,13328943.0,condition-2,8.0,i8,interoceptive,i8hh-hotto.mp4,with a feeling of relief,5,15605.59999999992
18.0,13328943.0,condition-2,9.0,v6,visual,v6hh-huNwari.mp4,"gently, airily, fluffy",5,8095.299999999639
