display,meaning-prompt,word-answer,word-a,word-b,meaning-a,meaning-b,modality,pairing
instructions,,,,,,,,
practice,"softly, gently",p0hk-sotto.mp4,p0hk-sotto.mp4,p0kh-gataN.mp4,"softly, gently",with a bang,auditory,p0
practice,"suddenly, in a flash",p1kh-paQ.mp4,p1hk-zitto.mp4,p1kh-paQ.mp4,"motionless, fixedly","suddenly, in a flash",visual,p1
practice,"clanging, banging",p2kh-gaNgaN.mp4,p2hk-sorosoro.mp4,p2kh-gaNgaN.mp4,"slowly, quietly","clanging, banging",auditory,p2
practice,"exactly alike, spitting image",p3hk-sokkuri.mp4,p3hk-sokkuri.mp4,p3kh-garari.mp4,"exactly alike, spitting image","completely, totally changed",visual,p3
begin-trials,,,,,,,,
trial,with a rustling sound,a0hk-gosogoso.mp4,a0hk-gosogoso.mp4,a0kh-katakata.mp4,with a rustling sound,"clattering, rattling",auditory,a0
trial,splashing,a1kh-batyabatya.mp4,a1hk-sitosito.mp4,a1kh-batyabatya.mp4,drizzling,splashing,auditory,a1
trial,noisily gushing,a2hk-zyaazyaa.mp4,a2hk-zyaazyaa.mp4,a2kh-potapota.mp4,noisily gushing,"dripping, trickling",auditory,a2
trial,"crisp, crunchy",a3kh-syakisyaki.mp4,a3hk-ziriziri.mp4,a3kh-syakisyaki.mp4,"sizzling, oozing","crisp, crunchy",auditory,a3
trial,with a slurp,a4hk-zuruzuru.mp4,a4hk-zuruzuru.mp4,a4kh-poripori.mp4,with a slurp,"munching, crunching",auditory,a4
trial,"noisily, with heavy feet",a5kh-dotabata.mp4,a5hk-sororisorori.mp4,a5kh-dotabata.mp4,slowly and quietly,"noisily, with heavy feet",auditory,a5
trial,with a thud,a6hk-dosari.mp4,a6hk-dosari.mp4,a6kh-katiQ.mp4,with a thud,"click, snap",auditory,a6
trial,"with a creak, squeak",a7kh-gisigisi.mp4,a7hk-dosidosi.mp4,a7kh-gisigisi.mp4,"tramping, stomping","with a creak, squeak",auditory,a7
trial,"in a whisper, in a murmur",a8hk-bosori.mp4,a8hk-bosori.mp4,a8kh-kyaakyaa.mp4,"in a whisper, in a murmur","shrieking, squealing",auditory,a8
trial,with a crunch,a9kh-sakuQ.mp4,a9hk-mogomogo.mp4,a9kh-sakuQ.mp4,"mumbling, chewing",with a crunch,auditory,a9
trial,"clearly, distinctly, sharply",v0hk-kukkiri.mp4,v0hk-kukkiri.mp4,v0kh-tiratira.mp4,"clearly, distinctly, sharply","flickering, fluttering",visual,v0
trial,"jagged, serrated",v1kh-gizagiza.mp4,v1hk-kurikuri.mp4,v1kh-gizagiza.mp4,big and round,"jagged, serrated",visual,v1
trial,"dark, gloomy",v2hk-doNyori.mp4,v2hk-doNyori.mp4,v2kh-kirakira.mp4,"dark, gloomy","glittering, sparkling",visual,v2
trial,"fluttering, dangling",v3kh-hirahira.mp4,v3hk-pitari.mp4,v3kh-hirahira.mp4,"tightly connected, no space in between","fluttering, dangling",visual,v3
trial,"closely lined up, densely",v4hk-bissiri.mp4,v4hk-bissiri.mp4,v4kh-barabara.mp4,"closely lined up, densely","scattered, in pieces",visual,v4
trial,"smilingly, with a grin",v5kh-nikoniko.mp4,v5hk-busuri.mp4,v5kh-nikoniko.mp4,"poutingly, displeasure","smilingly, with a grin",visual,v5
trial,"gently, airily, fluffy",v6hk-huNwari.mp4,v6hk-huNwari.mp4,v6kh-gotugotu.mp4,"gently, airily, fluffy","rugged, scragged, angular",visual,v6
trial,"crisp appearance, stiffly",v7kh-kiriQ.mp4,v7hk-boNyari.mp4,v7kh-kiriQ.mp4,"dim, faint, indistinct","crisp appearance, stiffly",visual,v7
trial,"plump, rotund, chubby",v8hk-marumaru.mp4,v8hk-marumaru.mp4,v8kh-garigari.mp4,"plump, rotund, chubby","very skinny, emaciated",visual,v8
trial,"ruffled, disheveled",v9kh-bosabosa.mp4,v9hk-mukumuku.mp4,v9kh-bosabosa.mp4,"billowing, plump","ruffled, disheveled",visual,v9
trial,"boredom, tedious, fed up with",i0hk-uNzari.mp4,i0hk-uNzari.mp4,i0kh-wakuwaku.mp4,"boredom, tedious, fed up with","excitement, nervous",interoceptive,i0
trial,"ravenously, greedily",i1kh-gatugatu.mp4,i1hk-geNnari.mp4,i1kh-gatugatu.mp4,"weary, fed up, dejected","ravenously, greedily",interoceptive,i1
trial,"downhearted, dejected",i2hk-syoboN.mp4,i2hk-syoboN.mp4,i2kh-ruNruN.mp4,"downhearted, dejected","happy, elated, euphoric",interoceptive,i2
trial,"to get irritated, annoyed",i3kh-iraira.mp4,i3hk-sukkiri.mp4,i3kh-iraira.mp4,"refreshingly, with a feeling fo relief","to get irritated, annoyed",interoceptive,i3
trial,"attentive, proper attitude",i4hk-tyaNto.mp4,i4hk-tyaNto.mp4,i4kh-dogimagi.mp4,"attentive, proper attitude","flurried, nervous",interoceptive,i4
trial,"anxious, nervous",i5kh-harahara.mp4,i5hk-nobinobi.mp4,i5kh-harahara.mp4,"comfortable, peaceful","anxious, nervous",interoceptive,i5
trial,"at leisure, in a relaxed manner",i6hk-noNbiri.mp4,i6hk-noNbiri.mp4,i6kh-girigiri.mp4,"at leisure, in a relaxed manner","just barely, at the last moment",interoceptive,i6
trial,"shivering, feeling chilly",i7kh-zokuzoku.mp4,i7hk-hokkori.mp4,i7kh-zokuzoku.mp4,"feeling warm and fluffy, soft","shivering, feeling chilly",interoceptive,i7
trial,with a feeling of relief,i8hk-hoQ.mp4,i8hk-hoQ.mp4,i8kh-dokiri.mp4,with a feeling of relief,"being startled, getting a shock",interoceptive,i8
trial,with a rapid heartbeat,i9kh-dokidoki.mp4,i9hk-yuttari.mp4,i9kh-dokidoki.mp4,"comfortable, calm, relaxed",with a rapid heartbeat,interoceptive,i9
end-trials,,,,,,,,
